id,phase,status,dependencies,estimate_days,goal,outputs,acceptance
T000,P0 合同与Harness,DONE,,0.5,统一玩法、MVP范围、技术基线、配置唯一真相源和完成定义。,处理文档中的待确认项；更新project-index；锁定下一任务,权威文档之间无冲突；所有TBD被确认或明确BLOCKED；T010改为READY
T010,P0 合同与Harness,DONE,T000,1.0,验收并纳管仓库根目录现有Unity 6000.5.1f1 2D工程基线。,根目录Unity工程；根.gitignore；确认精确ProjectVersion.txt；空场景,Unity 6000.5.1f1可打开并进入Play Mode；Console无Error；仓库只有一个.git
T020,P0 合同与Harness,READY,T010,1.0,固定URP 2D、Input System、TMP、Test Framework和质量档。,URP Asset与2D Renderer；Input Actions；Low/High质量档；包版本清单,Graphics及Quality均指向正确URP；鼠标/触摸统一输入可读；测试程序集可发现
T030,P0 合同与Harness,BACKLOG,T020,1.0,建立目录、asmdef和Bootstrap/MainMenu/Battle三场景骨架。,模块目录；Runtime/Editor/EditMode/PlayMode asmdef；Bootstrap场景；场景流接口,无程序集循环依赖；Bootstrap能加载主菜单和战斗灰盒；场景由Unity保存
T040,P0 合同与Harness,BACKLOG,T030,1.0,建立构建、测试、证据和一任务一提交工作流。,批处理测试命令；Web构建入口；verification模板；改动白名单流程,EditMode/PlayMode可独立输出XML；失败返回非零；证据模板可复用
T100,P1 微信平台Spike,BACKLOG,T040,1.0,先验证标准Unity Web构建，不接微信转换。,最小Web构建；输入/音频/中文/存储冒烟；构建日志与体积,标准Web构建完成；本地HTTP可运行；核心冒烟有记录
T110,P1 微信平台Spike,BACKLOG,T100,2.0,确认当前官方微信Unity转换方案并做Unity/SDK兼容矩阵。,SDK来源/版本/commit/许可证；兼容矩阵；UPSTREAM.md；补丁决策,依赖可复现；导入后全工程编译；失败保留原始错误并正确标记
T120,P1 微信平台Spike,BACKLOG,T110,2.0,完成微信转换、开发者工具和至少一台真机的分级冒烟。,转换输出；DevTools日志/截图；真机触摸/音频/前后台/存储结果,四级结果独立记录：Web/转换/DevTools/真机；失败可定位到层级
T130,P1 微信平台Spike,BACKLOG,T110,1.0,建立Editor/Web/WeChat平台服务抽象。,IPlatformService；存储/震动/生命周期/日志接口；Editor/Web Stub；微信实现壳,Gameplay程序集不依赖微信SDK；无SDK时Editor仍可运行；平台实现可替换
T200,P2 配置系统,BACKLOG,T040,1.0,确认Excel工作簿、字段字典、ID规则和数据所有权。,GameConfig.xlsx；CONFIG_SCHEMA；枚举/字段字典；样例数据,玩家/手势/敌人/技能/关卡/Boss/文本/VFX均有表；外键关系明确
T210,P2 配置系统,BACKLOG,T200,2.0,实现独立.NET配置导出器：xlsx到稳定JSON。,Tools/ConfigExporter；export/validate命令；稳定排序和hash；原子写入,同一输入重复导出字节一致；错误返回非零；输出自校验后替换
T220,P2 配置系统,BACKLOG,T210,2.0,实现结构、范围、枚举、唯一性、外键和跨表语义校验。,ConfigValidator；Sheet/Row/Field定位；错误码；坏配置样例,重复ID/缺外键/负时间/Boss阈值乱序等全部失败；错误可定位单元格
T230,P2 配置系统,BACKLOG,T220,2.0,实现Unity Runtime配置加载、版本检查和只读索引。,GameplayConfigDocument DTO；GameplayConfigService；ID索引；启动摘要,启动一次解析并建立只读字典；版本不兼容阻止进战斗；日志有来源/hash/数量
